성별 (gender) ,학년,운동 빈도 ,운동 시간,주로 하는 운동 유형,운동의 주요 목적 ,운동을 하는 시간대 ,운동을 시작한 이유 ,운동을 지속하는 어려움을 느끼는 부분
남성,11학년,주 2~3회,60분 이상,헬스/ 웨이트 트레이닝,체력 증진,저녁,취미 / 관심,피로감
남성,11학년,주 2~3회,60분 이상,걷기/조깅,스트레스 해소,밤,취미 / 관심,시간 부족
여성,11학년,주 2~3회,3시간,팀 스포츠,스트레스 해소,저녁,취미 / 관심,시간 부족
여성,11학년,주 1회,60분 이상,걷기/조깅,체중 감량,저녁,외모 개선,시간 부족
여성,11학년,주 2~3회,30분 미만,걷기/조깅,건강 유지,아침,잠을 깰 수 있음,피로감
여성,10학년,거의 하지 않음,30분 미만,자전거 타기,건강 유지,아침,친구/가족 권유,피로감
여성,8학년,주 1회,30분 미만,걷기/조깅,체력 증진,밤,건강 문제,동기 부족
남성,9학년,주 4~5회,90분 이상,수영,스트레스 해소,저녁,취미 / 관심,운동시설 부족
여성,8학년,주 2~3회,60분 이상,요가,체력 증진,밤,외모 개선,피로감
여성,10학년,주 4~5회,60분 이상,헬스/ 웨이트 트레이닝,사회적 활동,저녁,친구/가족 권유,동기 부족
남성,8학년,주 4~5회,60분 이상,요가,체력 증진,저녁,취미 / 관심,피로감
남성,10학년,주 1회,30분 미만,걷기/조깅,체중 감량,밤,친구/가족 권유,피로감
여성,10학년,주 6~7회,60분 이상,팀 스포츠,스트레스 해소,저녁,취미 / 관심,시간 부족
남성,8학년,주 4~5회,60분 이상,자전거 타기,건강 유지,저녁,취미 / 관심,피로감
여성,9학년,주 4~5회,90분 이상,요가,건강 유지,밤,취미 / 관심,피로감
남성,8학년,주 4~5회,60분 이상,자전거 타기,사회적 활동,저녁,건강 문제,시간 부족
여성,10학년,거의 하지 않음,30분 미만,걷기/조깅,체중 감량,밤,건강 문제,동기 부족
남성,8학년,주 4~5회,60분 이상,팀 스포츠,스트레스 해소,밤,취미 / 관심,시간 부족
여성,10학년,주 1회,30분 미만,요가,체력 증진,저녁,친구/가족 권유,피로감
남성,11학년,주 2~3회,90분 이상,자전거 타기,체력 증진,저녁,취미 / 관심,시간 부족
남성,8학년,주 2~3회,90분 이상,팀 스포츠,건강 유지,밤,취미 / 관심,피로감
남성,11학년,주 4~5회,90분 이상,헬스/ 웨이트 트레이닝,체력 증진,저녁,취미 / 관심,운동시설 부족